Title,Clients last day,Rating,Voters,Price,Kitchen,Location,Boroughs
Haru Sushi - W 43rd,20,4.5,2255,3,Japanese,Theater District / Times Square,Manhattan
Elsie Rooftop,37,3.9,502,4,American,Midtown West,Manhattan
Virgil's Real BBQ - New York City,NA,4.4,6785,2,Barbecue,Theater District / Times Square,Manhattan
Ainsworth Midtown,48,4.0,241,3,Contemporary American,Murray Hill,Manhattan
Isabelle’s Osteria,NA,4.6,309,2,Italian,Gramercy / Flatiron,Manhattan
Trattoria Zero Otto Nove,NA,4.7,1491,3,Italian,Chelsea,Manhattan
Valerie,15,4.5,618,2,American,Midtown West,Manhattan
Strip House Midtown,NA,4.6,2202,4,Steak,Midtown West,Manhattan
Butter Midtown,53,4.7,4868,3,Contemporary American,Midtown West,Manhattan
Spyglass,NA,4.7,100,3,American,Flower District,Manhattan
Zou Zou's,1,4.7,88,3,Mediterranean,Hell's Kitchen,Manhattan
Sabai Thai,106,4.7,344,2,Thai,NoMad,Manhattan
Kyma - Flatiron,7,4.7,599,4,Greek,Gramercy / Flatiron,Manhattan
Wine 30,NA,4.6,630,3,American,Murray Hill,Manhattan
Dos Caminos - Park,22,4.3,2066,3,Mexican,Gramercy / Flatiron,Manhattan
Hard Rock Cafe - Times Square,79,4.3,2597,2,American,Theater District / Times Square,Manhattan
Cipriani - Dolci,25,4.5,1457,3,Italian,Midtown East,Manhattan
Periyali,NA,4.8,2257,3,Greek,Gramercy / Flatiron,Manhattan
Tommy Bahama - New York,NA,4.7,2242,2,American,Midtown East,Manhattan
Chazz Palminteri Italian Restaurant,NA,4.7,1728,4,Italian,Theater District / Times Square,Manhattan
Tick Tock Diner NY,6,4.1,245,2,American,Midtown West,Manhattan
Niles New York City,NA,4.5,1558,2,Contemporary American,Midtown West,Manhattan
Jue Lan Club,152,4.4,1418,3,Chinese,Gramercy / Flatiron,Manhattan
Tarallucci e Vino - NoMad,NA,4.4,296,3,Italian,NoMad,Manhattan
Mari Vanna,32,4.8,1288,4,Russian,Gramercy / Flatiron,Manhattan
Wagamama (Nomad - 5th Avenue),9,4.2,472,2,Asian,Gramercy / Flatiron,Manhattan
Morton's The Steakhouse - Midtown Manhattan,NA,4.6,3609,4,Steakhouse,Midtown East,Manhattan
Obica Mozzarella Bar  Pizza e Cucina,27,4.5,918,3,Italian,Gramercy / Flatiron,Manhattan
DK,NA,4.5,1427,3,American,Theater District / Times Square,Manhattan
Sushi Ryusei,3,4.7,238,4,Sushi,Murray Hill,Manhattan
Park Avenue Tavern,NA,4.7,852,3,Contemporary American,Midtown East,Manhattan
Havana Central Times Square,59,4.4,7441,2,Cuban,Theater District / Times Square,Manhattan
Sinigual - NY,38,4.3,2246,2,Mexican,Midtown East,Manhattan
Castell Rooftop Lounge,46,4.5,324,3,Bar / Lounge / Bottle Service,Midtown West,Manhattan
Bocca Cucina & Bar,9,4.6,2093,2,Italian,Gramercy / Flatiron,Manhattan
Croton Reservoir Tavern,5,4.4,908,2,Bar / Lounge / Bottle Service,Midtown West,Manhattan
Bobby Van's Park Avenue - 'The Original',NA,4.8,1387,3,Steakhouse,Midtown East,Manhattan
Haven Rooftop,72,4.3,3225,3,Contemporary American,Midtown West,Manhattan
Ammos Estiatorio,49,NA,NA,3,Seafood,Midtown East,Manhattan
Pershing Square,43,4.6,19,3,American,Midtown East,Manhattan
Evergreen on 38,NA,4.7,31,2,Chinese,Flower District,Manhattan
Buenavista Restaurant & Bar,2,4.8,336,2,"Global, International",Midtown West,Manhattan
Osteria Laguna,11,4.7,1584,3,Italian,Midtown East,Manhattan
Sei Less,5,4.3,27,3,Chinese,Flower District,Manhattan
Mykonos Bleu Restaurant and Rooftop,17,3.6,265,3,Greek,Chelsea,Manhattan
Biricchino,9,4.5,473,3,Italian,Chelsea,Manhattan
Coppola's East,9,4.6,629,3,Italian,Murray Hill,Manhattan
The Wilson,4,4.5,116,2,Unspecified,NoMad,Manhattan
Burger & Lobster - NY,41,4.5,273,2,American,Gramercy / Flatiron,Manhattan
Pippali,NA,4.6,465,2,Contemporary Indian,Gramercy / Flatiron,Manhattan
iL Punto,NA,4.8,2253,3,Italian,Theater District / Times Square,Manhattan
Giorgio's of Gramercy,3,4.6,2523,3,Contemporary American,Gramercy / Flatiron,Manhattan
The Brooklyn Diner Times Square,NA,4.3,2568,2,American,Theater District / Times Square,Manhattan
Spice Symphony - 31st St,NA,4.4,313,2,Indian,Murray Hill,Manhattan
Tramonti Fifth Ave,NA,4.5,26,2,Wine Bar,NoMad,Manhattan
Uncle Jack's Steakhouse - Westside 9th Avenue,NA,4.4,2291,3,Steak,Midtown West,Manhattan
Dhaba,NA,4.6,707,2,Indian,Murray Hill,Manhattan
Handcraft Kitchen & Cocktails,12,4.7,174,2,Cocktail Bar,Kips Bay,Manhattan
VinoTapa,NA,4.6,336,2,Tapas / Small Plates,Murray Hill,Manhattan
Asuka Sushi,10,4.8,513,2,Japanese,Chelsea,Manhattan
Bar Milano by Eataly,NA,4.2,32,4,Italian,Gramercy / Flatiron,Manhattan
Trattoria Bianca,8,4.0,897,3,Italian,Midtown West,Manhattan
Bread & Tulips,2,4.8,628,2,Italian,Gramercy / Flatiron,Manhattan
Çka Ka Qellue,NA,4.4,33,2,Eastern European,Murray Hill,Manhattan
Il Fiorista,8,NA,NA,3,Mediterranean,NoMad,Manhattan
Mazu Szechuan Cuisine,78,4.7,43,2,Chinese (Sichuan),Kips Bay,Manhattan
BXL Cafe,31,4.3,606,3,Belgian,Midtown West,Manhattan
Royalton Rooftop,14,4.0,4,2,American,Gramercy / Flatiron,Manhattan
House of Lasagna,1,4.8,320,2,Italian,Murray Hill,Manhattan
Haymaker Bar & Kitchen,6,4.6,136,2,American,Chelsea,Manhattan
L'Express,16,4.5,640,2,French,Gramercy / Flatiron,Manhattan
YAKINIKU TORAJI,3,4.6,19,3,Japanese,Midtown East,Manhattan
The Lobby at Ace Hotel New York,19,4.1,4,2,Cocktail Bar,NoMad,Manhattan
Refinery Rooftop,9,4.8,579,2,American,Midtown West,Manhattan
Bhatti Indian Grill,NA,4.6,490,3,Indian,Murray Hill,Manhattan
Wagamama (Murray Hill - 39th Street),1,4.5,198,2,Asian,Murray Hill,Manhattan
Merakia,46,4.3,458,3,Greek,Gramercy / Flatiron,Manhattan
Mista Oh,26,4.5,22,3,Korean,NoMad,Manhattan
Il Mulino Prime - Gramercy,3,4.7,195,4,Italian,Gramercy / Flatiron,Manhattan
Pietro's,NA,4.7,149,3,Italian,Turtle Bay,Manhattan
District Tap House,NA,4.6,502,2,American,Theater District / Times Square,Manhattan
Boqueria Flatiron,3,4.6,741,3,Spanish,Gramercy / Flatiron,Manhattan
BXL ZOUTE,4,4.6,596,2,Belgian,Gramercy / Flatiron,Manhattan
Margaritaville - Times Square,7,4.1,28,2,Pub,Flower District,Manhattan
Bobby Van's Grill Times Square,NA,4.5,1361,4,Steakhouse,Midtown West,Manhattan
Ben and Jack's Steakhouse 44th Street,NA,4.7,1129,4,Steakhouse,Midtown East,Manhattan
Tarallucci e Vino - Union Square,NA,4.5,851,3,Italian,Union Square,Manhattan
Scampi,7,4.7,206,3,Italian,Gramercy / Flatiron,Manhattan
Agave,5,4.3,82,2,Mexican / Southwestern,Murray Hill,Manhattan
Sachi NYC,6,4.8,28,2,Asian,Murray Hill,Manhattan
Dafni Greek Taverna,NA,4.3,2431,2,Greek,Theater District / Times Square,Manhattan
Emporium Brasil Restaurant & Bar,NA,4.6,196,3,Brazilian,Rockefeller Center Midtown,Manhattan
Andrews Coffee Shop,4,4.5,8,2,American,Flower District,Manhattan
Sardi's,NA,4.6,4840,3,Continental,Theater District / Times Square,Manhattan
Lazzara's Pizza Cafe,10,4.7,173,2,Pizzeria,Midtown West,Manhattan
Mister French,5,4.3,33,3,Contemporary French / American,Lower East Side,Manhattan
Vallata,3,4.5,12,2,Italian,NoMad,Manhattan
The Public House at Merrion Row Hotel,4,4.6,204,2,Gastro Pub,Theater District / Times Square,Manhattan
Zia Maria - Chelsea,3,4.3,214,2,Italian,Chelsea,Manhattan
Harding's,5,4.8,537,3,Contemporary American,Gramercy / Flatiron,Manhattan
AnTalia,1,4.3,518,2,Turkish,Midtown West,Manhattan
Fuji Hibachi - Times Square,1,4.0,231,3,Japanese,Theater District / Times Square,Manhattan
The Perfect Pint - West,NA,4.1,530,2,American,Midtown West,Manhattan
Celon Bar and Lounge,NA,3.8,19,3,Bar / Lounge / Bottle Service,Midtown East,Manhattan
La Brochette Kosher Steakhouse,4,4.4,113,4,Kosher,Midtown East,Manhattan
Sahara's Turkish Cuisine,NA,4.7,24,3,Turkish,Kips Bay,Manhattan
O'Donoghue's Bar & Restaurant,3,4.2,419,2,Irish,Theater District / Times Square,Manhattan
Super Franc - New York,2,3.8,2,3,Modern Tuscan,NoMad,Manhattan
Cotto NYC,18,3.5,12,3,Italian,Chelsea,Manhattan
Nittis,4,4.3,99,2,Italian,Hell's Kitchen,Manhattan
Bacall's Family Steakhouse,12,3.7,528,3,Contemporary American,Theater District / Times Square,Manhattan
Paul's on Time Square - Hilton Garden Inn,NA,4.1,13,3,Contemporary Italian,Theater District / Times Square,Manhattan
PRIME CATCH,6,3.9,24,3,Steakhouse,Midtown West,Manhattan
Mexico Lindo,NA,4.7,15,3,Mexican,Kips Bay,Manhattan
Beer Authority,3,3.9,196,2,Gastro Pub,Theater District / Times Square,Manhattan
Ceci Italian Restaurant,1,3.4,2764,2,Italian,Theater District / Times Square,Manhattan
The Restaurant,2,3.6,47,3,Contemporary American,Hell's Kitchen,Manhattan
Red Lobster - New York - Times Square,NA,4.2,135,2,Seafood,Theater District / Times Square,Manhattan
Taboo Lounge,2,NA,NA,4,International,Chelsea,Manhattan
Ahimsa,15,4.6,10,2,Indian,East Village,Manhattan
Mulligan's Pub,NA,3.7,5,2,Irish,Murray Hill,Manhattan
The Dawson,2,NA,NA,2,American,Rockefeller Center Midtown,Manhattan
Bar Cicchetti - NYC,2,NA,NA,3,Italian,Chelsea,Manhattan
Primal Cut Grille,5,NA,2,3,Steakhouse,Flower District,Manhattan
STATE Grill and Bar,5,4.6,950,3,American,Midtown East,Manhattan
Osamil,3,4.8,321,3,Korean,Midtown West,Manhattan
Scarpetta,42,4.7,4740,3,Italian,NoMad,Manhattan
HYUN,1,4.5,90,4,Korean,Midtown East,Manhattan
The Vine,NA,4.3,169,4,American,Chelsea,Manhattan
Villa Berulia,NA,4.8,109,4,Italian,Murray Hill,Manhattan
Kajitsu,NA,4.7,1159,4,Japanese,Murray Hill,Manhattan
Bar Moxy,6,4.2,4,3,American,Midtown West,Manhattan
Legasea Bar & Grill,NA,4.4,857,2,Seafood,Midtown West,Manhattan
Top of the Strand Rooftop Bar,14,4.5,13,3,Lounge,Midtown West,Manhattan
Tempura Matsui,NA,4.9,423,4,Japanese,Midtown East,Manhattan
Tavern 29,NA,4.4,471,2,American,Murray Hill,Manhattan
Nangman BBQ,NA,4.6,16,2,Asian,Chelsea,Manhattan
I Trulli,12,4.4,2442,3,Italian,Murray Hill,Manhattan
Somewhere Nowhere NYC,NA,NA,NA,4,Lounge,Chelsea,Manhattan
Victory Restaurant & Lounge,NA,NA,NA,2,American,Flower District,Manhattan
Kokage,3,4.6,145,2,Japanese,Murray Hill,Manhattan
Il Pesce - Eataly NYC Flatiron,NA,4.2,142,3,Seafood,Gramercy / Flatiron,Manhattan
Eataly - Flatiron,NA,NA,NA,2,Italian,Gramercy / Flatiron,Manhattan
Jewel Thief,NA,3.7,4,2,Lounge,NoMad,Manhattan
Lamalo,NA,NA,NA,2,Middle Eastern,Midtown East,Manhattan
Hill Country Barbecue Market – Flatiron,NA,4.4,2002,3,Barbecue,Chelsea,Manhattan
Il Patio di Eataly,NA,4.4,400,2,Italian,Gramercy / Flatiron,Manhattan
Rattle N Hum West,NA,4.1,31,2,American,Theater District / Times Square,Manhattan
Brother Jimmy's - Murray Hill,NA,4.6,124,2,Barbecue,Midtown East,Manhattan
Utsav Indian Bar and Grill,NA,4.2,1588,2,Indian,Theater District / Times Square,Manhattan
Connolly's Pub and Restaurant - 47th,NA,4.2,246,2,American,Midtown East,Manhattan
Connolly's Pub and Restaurant - 45th,NA,4.1,595,2,American,Midtown West,Manhattan
Cote NYC,NA,5.0,166,4,Steakhouse,Chelsea,Manhattan
Patrizia's of 2nd Avenue,NA,4.4,374,2,Italian,Murray Hill,Manhattan
The Parisian Tea Room,NA,4.7,22,4,Afternoon Tea,Flower District,Manhattan
SUTRA,NA,4.8,13,3,Vegan,Gramercy / Flatiron,Manhattan
Boqueria West 40th Street,NA,4.5,887,3,Spanish,Midtown West,Manhattan
Rowland's Bar & Grill,NA,4.0,134,2,American,Midtown West,Manhattan
LandShark Bar & Grill - Times Square,4,3.4,5,3,American,Flower District,Manhattan
The Lambs Club,NA,4.3,3083,4,Contemporary American,Theater District / Times Square,Manhattan
Barnacho Gramercy,NA,4.5,10,2,Mexican,Gramercy / Flatiron,Manhattan
Mizu Flatiron,NA,4.5,119,2,Sushi,Gramercy / Flatiron,Manhattan
Gypsy Rose Bistro,NA,3.3,1,3,International,Chelsea,Manhattan
Jack Demsey's,NA,NA,NA,2,English,Flower District,Manhattan
