Title,Rating TripAvisdor,Voters TripAvisdor
 Burger & Lobster,4.5,410
 Nocello,4.5,415
 Il Brigante,4.5,407
LandShark Bar & Grill - Times Square,5.0,4
 5 Napkin Burger,4.5,4262
 Cafe Boulud,4.5,1198
 Adrienne's Pizzabar,4.5,859
 Shanghai 21,4.5,342
 Tommy Bahama Restaurant & Bar,4.5,493
Quality Bistro,4.5,30
 Marc Forgione,4.5,388
 Temple Court,4.5,276
 OCabanon,4.5,374
 Loring Place,4.5,162
 99 Cent Fresh Pizza,4.5,311
Piccola Cucina Osteria,4.5,2579
 Jongro BBQ,4.5,447
 The Top of The Standard,4.5,779
 Sadelle's,4.5,360
 Westville Chelsea,4.5,208
 BLT Steak,4.5,610
Quality Meats,4.5,2378
Famous Amadeus Pizza,4.0,44
 Tasty Hand Pulled Noodles,4.5,387
 Clinton St. Baking Company & Restaurant,4.5,1473
 Eataly NYC Flatiron,4.5,13135
 Atera,4.5,201
 Ruby's,4.5,341
LandShark Bar & Grill - Times Square,5.0,4
 Dutch Fred's,4.5,280
 The Perfect Pint,4.5,274
 FIG & OLIVE,4.0,1224
 Cafe Habana,4.5,760
 Murray Hill Diner,4.5,656
Quality Meats,4.5,2378
 Jackson Hole Burgers,4.5,624
 Urbanspace,4.5,412
 An’nam,4.5,289
 Momofuku Ssam Bar,4.5,671
 Match 65 Brasserie,4.5,423
Quality Italian,4.0,833
 Ed's Lobster Bar,4.5,757
 Bareburger - Murray Hill,4.5,402
 Two Hands,4.5,354
 The Paris Cafe,4.5,339
 Nick's,4.5,272
5 o'Clock Somewhere Bar,4.0,4
 West Side Steakhouse,4.5,1066
 Vezzo,4.5,1064
 Avra Estiatorio,4.5,1113
 Sant Ambroeus,4.5,465
 9 Ten Restaurant,4.5,273
Quality Bistro,4.5,30
 Totto Ramen,4.5,1128
 Del Frisco's Double Eagle Steakhouse,4.5,3358
 Armani Ristorante,4.5,350
 Le Parisien,4.5,315
 ilili Restaurant NYC,4.5,1180
Margaritaville Restaurant- Times Square,3.5,12
Quality Italian,4.0,833
 Scarpetta,4.5,881
 The Press Lounge,4.5,404
 Perry St,4.5,367
 Blue Ribbon Sushi Bar & Grill - Columbus Circle,4.5,360
 West Bank Cafe,4.5,364
Piccola Cucina Osteria,4.5,2579
 Red Bamboo,4.5,318
 Lillie's Victorian Establishment,4.5,1184
 Pepolino,4.5,673
 Rossini's Restaurant,4.5,473
 Ess-a-Bagel,4.5,1726
ICHIRAN Times Square,4.5,59
 Penelope,4.5,1239
 ABC Kitchen,4.5,1863
 44 & X,4.5,729
 Kung Fu Little Steamed Buns Ramen,4.5,432
 Sushi Yasuda,4.5,709
Famous Amadeus Pizza,4.0,44
 Westville Hudson,4.5,191
 2nd Avenue Deli,4.5,1191
 Boqueria,4.5,433
 Mozzarella&Vino,4.5,436
 Da Claudio Ristorante,4.5,212
Quality Bistro,4.5,30
 Sandwicherie,4.5,263
 Friedman's,4.5,1311
 Baccarat Hotel Bar,4.5,183
 Beauty & Essex,4.5,2228
 Emporium Brasil,4.5,399
Margaritaville Restaurant- Times Square,3.5,12
 Parker & Quinn,4.0,851
 The Egg Shop,4.5,303
 Pio Pio 6,4.5,410
 Anejo,4.5,372
 The Three Monkeys,4.5,661
LandShark Bar & Grill - Times Square,5.0,4
Piccola Cucina Osteria,4.5,2579
 Malibu Diner,4.5,532
 Churrascaria Plataforma,4.5,1492
