Title,Rating TripAvisdor,Voters TripAvisdor
 Le Pain Quotidien,4.0,255
Quality Italian,4.0,833
 Via Quadronno,4.0,333
 Charlie Bird,4.0,204
 Il Forno,3.5,606
 Croton Reservoir Tavern,4.0,205
 Madame Vo,4.5,64
Margaritaville Restaurant- Times Square,3.5,12
 Dig,4.0,131
 Tiella,4.5,112
 El Pote Espanol,4.5,115
 Le Pain Quotidien,4.0,411
 Obica Mozzarella Bar Pizza e Cucina,4.0,216
5 o'Clock Somewhere Bar,4.0,4
 Jing Fong Restaurant,4.0,670
 The Crosby Bar,4.0,211
 BXL East,4.5,112
 Anassa Taverna,4.0,252
 Bistecca Fiorentina,4.0,230
ICHIRAN Times Square,4.5,59
 Connolly's Pub & Restaurant,4.0,144
 Bohemian,4.5,87
 Pennsylvania 6 NYC,4.0,214
 The Greek Tribeca,4.5,126
 Gee Whiz Diner,4.0,196
LandShark Bar & Grill - Times Square,5.0,4
 Bono Trattoria,4.5,58
 Dan and John's Wings,5.0,39
 Neary's,4.5,117
 Thyme & Tonic,4.0,233
 Bucca Di Beppo,4.0,336
Famous Amadeus Pizza,4.0,44
Piccola Cucina Osteria,4.5,2579
 Randolph's Bar & Lounge,4.0,356
 Jin Ramen Uws,4.5,90
 BLVD Bistro,4.5,120
 Ootoya,4.0,137
 Blue Bar,4.0,197
Quality Bistro,4.5,30
 Bella Vita Pizzeria & Trattoria,4.0,778
 Boqueria,4.0,159
 Mimi's Restaurant,4.0,297
 SakaMai,4.5,75
 Eataly NYC Downtown,4.0,154
5 o'Clock Somewhere Bar,4.0,4
 Spaghetti Incident,4.5,89
 Berimbau Brazilian Kitchen,4.5,131
 Larb Ubol,4.0,139
 The Half Pint,4.0,140
 Bedford & Co.,4.0,187
LandShark Bar & Grill - Times Square,5.0,4
 Ristorante Altesi,4.5,140
 Shrine Bar,4.5,61
 Whole Foods Market,4.5,87
 Oda House,4.5,104
 Oldcastle Pub & Restaurant,4.0,246
Margaritaville Restaurant- Times Square,3.5,12
 Contra,4.5,140
 Amelia's Restaurant,4.0,152
 Times Deli Cafe,4.0,163
 Takashi,4.5,147
 Fumo Harlem,4.5,70
Quality Italian,4.0,833
 Earl's Beer and Cheese,4.5,110
 Ortomare Ristorante Pizzeria,5.0,43
 Delmonico's Kitchen,4.0,216
 Sobaya,4.5,160
 Saravanaa Bhavan,4.0,161
Quality Meats,4.5,2378
ICHIRAN Times Square,4.5,59
 JoJo,4.5,115
 Bella Luna Restaurant,4.0,170
 Trattoria Dante Caffe Dante,4.0,173
 Big Nick's Pizza Joint,4.0,185
 Narcissa,4.0,265
5 o'Clock Somewhere Bar,4.0,4
 Great NY Noodletown,4.0,362
 Sushi Damo Damo,4.0,316
 Vino Levantino,4.5,70
 Papillon Bistro & Bar,4.0,346
 Turntable Chicken Jazz,4.5,79
Quality Bistro,4.5,30
 Bhatti Indian Grill,4.0,223
 Cafe Centro,4.0,229
 Ben & Jack's Steakhouse,4.5,81
 Tre,4.5,112
 Club Macanudo,4.5,124
Quality Meats,4.5,2378
 Highlands,4.5,95
 Meson Sevilla,4.0,352
 Feast,4.5,71
 La Villetta,4.5,106
 Neta,4.5,131
Piccola Cucina Osteria,4.5,2579
 Almanac,4.5,93
 121 Fulton Street Restaurant,4.0,170
 Under The Bridge,4.5,87
 Jean Claude 2,4.5,114
 San Pietro Ristorante,4.0,139
LandShark Bar & Grill - Times Square,5.0,4
 T45 Restaurant,4.0,221
 Posto,4.5,106
 NITTIS,4.5,71
 Terra,4.0,206
 The Smile,4.0,163
Maison Bangkok,3.5,6
Quality Bistro,4.5,30
 Malaparte,4.0,140
 A.O.C. L'aile ou la Cuisse,4.0,355
 Jasper's Taphouse,4.5,90
 Cotenna,4.5,113
 Draught 55,4.5,103
Margaritaville Restaurant- Times Square,3.5,12
 The Drunken Munkey,4.5,118
 Dhaba,4.0,251
 Nusr-Et Steakhouse,4.0,496
 The Russian Tea Room,3.5,1619
 IL Baretto,4.5,72
Quality Italian,4.0,833
 Pegu Club,4.5,75
 Thalassa,4.5,157
 Ulysses,4.0,281
 American Cut Steakhouse Tribeca,4.0,220
 Banter,4.5,58
Piccola Cucina Osteria,4.5,2579
 Blue Seafood Bar,4.5,93
 Dawat Haute Indian Cuisine,4.0,215
 Avant Garden,4.5,90
 El Rio Grande,4.0,199
 Ammos Estiatorio,4.0,284
Quality Meats,4.5,2378
 Gossip Bar & Restaurant,4.0,155
 Nanoosh,4.0,140
 The Waverly Inn and Garden,4.0,325
 Aroy Dee Thai Kitchen,4.5,59
 Essen Slow Fast Food,4.5,82
LandShark Bar & Grill - Times Square,5.0,4
 Broadway Lounge & Terrace,4.0,260
 Little Poland Restaurant,4.5,128
 Kabooz's Bar and Grill,4.0,131
 The Palm - Tribeca,4.0,169
 BH Kitchen & Bar,5.0,38
Famous Amadeus Pizza,4.0,44
Quality Bistro,4.5,30
 La Nacional Restaurant,5.0,42
 Settepani,4.0,142
 Essen Slow Fast Food,4.0,145
 Bobwhite Lunch and Supper Counter,4.5,69
 Madangsui Korean BBQ Restaurant,4.0,191
ICHIRAN Times Square,4.5,59
 Left Bank,4.5,103
 Roof Garden Cafe and Martini Bar,4.0,139
 L'Appart,5.0,43
 Blue Ribbon Sushi Izakaya,4.0,133
 The Flying Cock,4.5,66
Piccola Cucina Osteria,4.5,2579
 The Malt House,4.0,134
 Giuseppe's Pizza,4.5,82
 Aburiya Kinnosuke,4.0,166
 Keste Pizza & Vino,4.5,71
 Pomodoro,4.0,230
5 o'Clock Somewhere Bar,4.0,4
 Ajisai Japanese Restaurant,4.0,151
 Zengo,4.0,260
 Sala One Nine,4.5,146
 Fedora Restaurant,4.5,120
 Haswell Green,4.5,69
Quality Italian,4.0,833
 Pietro's,4.0,169
 Villard Restaurant,4.0,141
 Ciao Bella,4.5,55
 Gennaro Restaurant,4.0,198
 Le Baratin,4.5,112
LandShark Bar & Grill - Times Square,5.0,4
 Ristorante Grifone,4.5,95
 Mother Burger,4.0,138
 Mel's Burger Bar,4.0,142
 Totto Ramen,4.5,93
 New Amsterdam Burger & Bar,4.5,97
Margaritaville Restaurant- Times Square,3.5,12
5 o'Clock Somewhere Bar,4.0,4
 XO Kitchen,4.0,118
 Yerba Buena,4.5,112
 Bettolona,4.5,91
 Cafe Clover,4.0,103
 Ethos Gallery 51,4.0,263
ICHIRAN Times Square,4.5,59
 Zagara,4.5,84
 The Wheeltapper Pub,4.0,182
 Mezetto,4.5,111
 Hello Deli,4.5,99
 Pastis,4.5,87
Quality Italian,4.0,833
 Crossroads American Kitchen & Bar,4.0,243
 Moti Mahal Delux,4.0,150
 The Water Club,4.0,228
 Noodies Thai Kitchen,4.5,88
 Minca Ramen,4.5,82
Quality Bistro,4.5,30
 Au Bon Pain,4.0,126
 Village Taverna,4.0,139
 Fresh & Co.,4.5,76
 Gruppo,4.5,79
 Sagaponack,4.0,99
Piccola Cucina Osteria,4.5,2579
 Tortaria,4.0,108
 Petrarca Cucina e Vino,4.0,182
 Arte Cafe,4.0,338
 Wayan,4.5,56
 Tabata Noodle,4.0,142
Quality Meats,4.5,2378
 Death & Co,4.0,212
 Sombrero Mexican,3.5,539
 Bodhi Kosher Vegan Sushi & Dim Sum Restaurant,4.5,78
 BV's Burger,3.5,471
 Oiji,4.5,67
LandShark Bar & Grill - Times Square,5.0,4
Piccola Cucina Osteria,4.5,2579
 Agave,4.0,212
 Dylan's Candy Bar,4.0,273
 El Porron,4.0,138
 Sauce,4.0,196
 Cafe Europa - Sixth Ave,4.0,189
Quality Bistro,4.5,30
 Brandy Library,4.5,124
 Aria Wine Bar,4.0,203
 Bonchon Chicken - NYC 32nd St.,4.0,192
 Chef Pam Real Thai,4.5,127
 Hakubai,4.5,79
ICHIRAN Times Square,4.5,59
 Hampton Chutney Co.,4.5,95
 Hummus Kitchen,4.5,71
 Turco Mediterranean/Turkish Grill,4.0,114
 Grey Bar & Restaurant,4.5,60
 Nha Trang One,4.0,158
Margaritaville Restaurant- Times Square,3.5,12
 Chef's Table To,4.5,77
 Till & Sprocket,4.5,60
 District Social,4.0,120
 Dark Horse,4.5,96
 Gleason's Tavern,4.0,143
LandShark Bar & Grill - Times Square,5.0,4
 Delmonico NYC,4.5,65
 Hell's Chicken,4.5,65
 Sala Thai,4.5,46
 Adoro Lei,4.5,73
 Spitzer's Corner,4.0,123
Quality Meats,4.5,2378
 Angus Club Steakhouse,4.5,124
 Avena,4.5,60
 Frying Pan NYC,4.0,191
 The Grey Dog (West Village),4.5,62
 La Goulue Restaurant,4.5,109
Maison Bangkok,3.5,6
Quality Bistro,4.5,30
 Market Crates,4.5,49
 Yatenga French Bistro and Bar,4.5,75
 Volare,4.5,96
 Trattoria Belvedere,4.0,214
 Chez Napoleon,4.0,266
Margaritaville Restaurant- Times Square,3.5,12
 Bread & Butter,4.0,162
 Marlow Bistro,4.5,81
 Hale and Hearty Soup,4.5,76
 Onieal's Restaurant,4.0,123
 Allora Ristorante,4.0,142
LandShark Bar & Grill - Times Square,5.0,4
 Sojourn,4.5,112
 Troquet,4.5,69
 Cipriani Downtown,4.0,536
 Hanjan,4.5,88
 Beatnic - Rock Center,4.5,95
Piccola Cucina Osteria,4.5,2579
 Union Square Burger,4.5,78
 Rasa,4.0,96
 Japonica,4.5,134
 The Quarter,4.5,116
 Tacombi - Flatiron,4.5,66
5 o'Clock Somewhere Bar,4.0,4
 Trestle on Tenth,4.0,170
 Broadway Deli and Cafe,4.0,109
 Anytime,5.0,42
 Hale and Hearty Soups -- 56th Street,4.5,81
 Panineria,4.5,54
Famous Amadeus Pizza,4.0,44
 El Malecon Restaurant,4.0,102
 Au Cheval,4.5,67
 Frank,4.0,165
 RH Rooftop Restaurant New York,4.0,94
 Cafe Select,4.0,179
Quality Italian,4.0,833
Maison Bangkok,3.5,6
 The Garden at The Four Seasons,4.5,129
 Ihop,4.0,186
 Nam Son Vietnamese Restaurant,4.0,126
 Barrio Chino,4.0,138
 The Butcher's Daughter,4.0,88
Piccola Cucina Osteria,4.5,2579
 San Marzano,4.5,101
 Socarrat Paella Bar- Chelsea,4.0,221
 Pippali,4.0,122
 The Cecil Restaurant,4.0,206
 Hold Fast,4.5,38
Quality Italian,4.0,833
 Washington Square Diner,4.0,154
 SUGARFISH by sushi nozawa,4.5,111
 Jeremy's Ale House,4.5,122
 Sushi of Gari,4.0,261
 Cafe Altro Paradiso,4.0,102
LandShark Bar & Grill - Times Square,5.0,4
 Flora Bar,4.0,149
 St. James Gate,4.5,74
 Sukhumvit 51,4.5,114
 Cafe Eighty Two,4.0,138
 2nd Avenue Deli and 2nd Floor Bar & Essen,4.0,148
Quality Bistro,4.5,30
 Bar Ciccio Alimentari,4.5,89
 Masa,4.0,286
 Stone Street Tavern,4.0,181
 Lucky Strike Manhattan,4.0,173
 Soba Noodle Azuma,4.5,56
Quality Meats,4.5,2378
 Molly Wee Pub,4.0,215
 Han Dynasty,4.0,124
 Black Sushi,4.5,98
 Eat Here Now,4.0,227
 Fiaschetteria Pistoia,4.5,56
Famous Amadeus Pizza,4.0,44
Maison Bangkok,3.5,6
 The Garden at The Four Seasons,4.5,129
 Ihop,4.0,186
 Nam Son Vietnamese Restaurant,4.0,126
 Barrio Chino,4.0,138
 The Butcher's Daughter,4.0,88
Piccola Cucina Osteria,4.5,2579
 San Marzano,4.5,101
 Socarrat Paella Bar- Chelsea,4.0,221
 Pippali,4.0,122
 The Cecil Restaurant,4.0,206
 Hold Fast,4.5,38
Quality Italian,4.0,833
 Washington Square Diner,4.0,154
 SUGARFISH by sushi nozawa,4.5,111
 Jeremy's Ale House,4.5,122
 Sushi of Gari,4.0,261
 Cafe Altro Paradiso,4.0,102
LandShark Bar & Grill - Times Square,5.0,4
 Flora Bar,4.0,149
 St. James Gate,4.5,74
 Sukhumvit 51,4.5,114
 Cafe Eighty Two,4.0,138
 2nd Avenue Deli and 2nd Floor Bar & Essen,4.0,148
Quality Bistro,4.5,30
 Bar Ciccio Alimentari,4.5,89
 Masa,4.0,286
 Stone Street Tavern,4.0,181
 Lucky Strike Manhattan,4.0,173
 Soba Noodle Azuma,4.5,56
Quality Meats,4.5,2378
 Molly Wee Pub,4.0,215
 Han Dynasty,4.0,124
 Black Sushi,4.5,98
 Eat Here Now,4.0,227
 Fiaschetteria Pistoia,4.5,56
Famous Amadeus Pizza,4.0,44
